algorithm,round,client_id,original_size_bytes,delta_size_bytes,reduction_percent
flips,18,63,938613,435314,53.6215671421555
flips,3,12,938337,409866,56.31995754190658
flips,5,30,937077,409773,56.27114954267365
flips,43,98,937546,481252,48.66897197577506
flips,6,94,936793,475034,49.29146567064442
flips,4,7,936269,456140,51.281095497127424
flips,1,18,935804,413684,55.79373458544738
flips,1,96,936828,423415,54.80333636483965
flips,0,35,936447,447152,52.25015403968404
flips,4,67,937449,428244,54.31815490762697
flips,46,46,937958,464652,50.46132129583627
flips,18,73,937841,466005,50.310873591578954
flips,47,46,935877,434288,53.59561138910348
flips,6,30,936200,428262,54.25528733176672
flips,19,73,936177,467396,50.07397105461895
flips,6,72,935494,417619,55.35845232572309
flips,2,89,935257,464218,50.3646591257804
flips,5,7,935486,442720,52.674866326166295
flips,1,93,936215,479062,48.82991620514518
flips,0,39,935777,423184,54.77725996685108
flips,1,35,935921,451168,51.794221948219985
flips,1,41,936883,461394,50.7522283999176
flips,18,52,935362,436519,53.331544364641715
flips,32,23,935978,428233,54.24753573267748
flips,7,30,935723,442569,52.702990094290726
flips,4,87,935091,458339,50.98455658326302
flips,15,57,936096,433152,53.727822787406424
flips,2,35,935205,457768,51.05158761982666
flips,6,60,936399,440710,52.93566097358071
flips,0,79,934970,467185,50.032086591013616
flips,0,6,935219,402080,57.00686149447349
flips,48,46,936544,453835,51.5415186045717
flips,5,74,934876,422253,54.83326130952126
flips,0,31,934508,448942,51.959533786762655
flips,1,6,934959,414354,55.682120820271265
flips,4,4,934724,444898,52.403276261227916
flips,9,29,935183,462972,50.49396749085473
flips,3,35,934749,474801,49.20550864456662
flips,8,30,935307,462508,50.55014022133909
flips,4,64,934196,416757,55.388697874964144
flips,9,50,935330,405809,56.61328087412998
flips,33,23,935681,430698,53.969568688473956
flips,24,11,934671,396241,57.60636630429317
flips,8,14,933659,457228,51.028373314025785
flips,2,10,933899,425008,54.49101026984717
flips,3,34,934907,438528,53.09394410353116
flips,4,3,934611,445547,52.32808088070866
flips,2,27,935010,398078,57.42526817894995
flips,9,30,935209,425907,54.458629033724
flips,5,64,934356,419024,55.15371014902243
flips,3,44,934753,428426,54.166929659492936
flips,5,67,934730,424947,54.53799492901694
flips,8,66,933750,454451,51.33054886211512
flips,6,21,933413,443368,52.50034014953724
flips,6,59,934356,451106,51.72011524515281
flips,6,64,933428,400018,57.14527526493741
flips,8,16,934886,473322,49.37115327430296
flips,10,30,935056,435971,53.374878082168344
flips,2,0,933434,435438,53.35096000359961
flips,2,80,934278,393782,57.851731497477196
flips,10,19,934740,454870,51.33727025696986
flips,25,11,934925,457478,51.06794662673477
flips,49,46,933632,468978,49.76843124485879
flips,8,55,933042,426511,54.28812422163204
flips,7,59,933500,455204,51.236850562399574
flips,9,16,933714,438311,53.05725307749483
flips,9,66,933502,464850,50.20364177045149
flips,4,92,933683,433520,53.56882367998561
flips,5,45,932903,477288,48.838410853004014
flips,6,54,933434,419972,55.00785272445614
flips,1,75,933054,475270,49.0629695601755
flips,11,19,934341,459969,50.77075714326996
flips,10,16,932692,453673,51.358755087424356
flips,20,73,933185,471150,49.51161881084673
flips,44,98,933601,479290,48.662222941063696
flips,1,90,932517,397598,57.362922070053415
flips,2,95,932853,472234,49.377447464927485
flips,3,51,932787,443526,52.451524302975926
flips,7,99,932935,477360,48.83244813411438
flips,10,66,932930,457887,50.91946877043294
flips,50,46,933888,475147,49.12162914610746
flips,5,4,933157,477691,48.80915001441344
flips,19,52,931924,432300,53.6120971237998
flips,45,98,932447,491040,47.338561870004405
flips,11,16,932386,469280,49.66891394765687
flips,6,4,931988,481972,48.28560024377996
flips,7,60,933142,466181,50.04179428211355
flips,1,76,932055,453634,51.32969620891471
flips,1,86,932374,452132,51.507442292470614
flips,3,71,931998,475560,48.974139429483756
flips,1,28,932141,465800,50.02901921490419
flips,1,53,932653,477172,48.83713449696725
flips,19,63,931695,469912,49.5637520862514
flips,12,16,931763,484293,48.02401469043094
flips,20,52,931624,445850,52.14270993448
flips,3,81,930838,426903,54.137776927886485
flips,1,31,931092,453558,51.287520459847144
flips,10,29,931777,438204,52.971150822568056
flips,5,92,931684,442663,52.48786069096389
flips,7,94,931229,450036,51.672896784786545
flips,6,74,931833,437379,53.06251227419505
flips,9,14,931748,498157,46.53522196988885
flips,13,16,931230,500830,46.21844227527034
flips,7,74,931338,448409,51.853247693103896
flips,12,19,931424,457199,50.913976878414125
flips,0,49,930755,428728,53.93760978990174
flips,2,40,931463,434000,53.4066302150488
flips,2,78,930863,336584,63.841725366675874
flips,5,3,931423,449761,51.71248723727029
flips,34,23,932033,458257,50.83253489951536
flips,46,98,932277,493499,47.06519628822764
flips,9,55,931766,447334,51.990735871452706
flips,14,16,930445,486181,47.74747567024381
flips,8,74,930648,460466,50.5220018739631
flips,3,48,930205,488003,47.53812331690326
flips,10,55,930855,462409,50.3242717716508
flips,6,3,930335,445577,52.10574685462763
flips,35,23,931213,476828,48.79495883326371
flips,7,64,929519,429235,53.82181536902419
flips,0,8,929605,447922,51.81587878722683
flips,3,89,930537,479924,48.42504919202568
flips,7,4,930601,498703,46.41065290065237
flips,16,57,929034,423026,54.46603676506996
flips,26,11,929086,445000,52.10346512594097
flips,15,16,929762,496356,46.61472505867093
flips,3,10,929168,445795,52.02213162743443
flips,2,20,928413,408694,55.979289389528155
flips,10,50,930492,477920,48.637924882750205
